# Chunk-averaged data for fix 11 and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Coord2 Ncount v_temp
20000000 3200 9600
  456 0.1425 0.46875 3.00008 304.227
  457 0.1425 0.53125 2.99983 304.001
  458 0.1425 0.59375 2.99963 304.652
  459 0.1425 0.65625 2.9985 303.778
  460 0.1425 0.71875 2.99694 303.895
  461 0.1425 0.78125 2.99669 305.403
  462 0.1425 0.84375 2.99946 304.725
  463 0.1425 0.90625 3.00054 305.83
  464 0.1425 0.96875 3.00005 305.856
  465 0.1475 0.03125 2.99971 303.21
  466 0.1475 0.09375 2.99968 304.327
  467 0.1475 0.15625 2.99902 305.787
  468 0.1475 0.21875 2.99782 305.922
  469 0.1475 0.28125 2.99818 304.549
  470 0.1475 0.34375 2.99827 304.913
  471 0.1475 0.40625 2.99894 305.558
  472 0.1475 0.46875 2.99953 305.059
  473 0.1475 0.53125 2.99974 304.865
  474 0.1475 0.59375 2.99971 304.638
  475 0.1475 0.65625 2.99902 302.746
  476 0.1475 0.71875 2.99778 303.187
  477 0.1475 0.78125 2.99816 305.61
  478 0.1475 0.84375 2.99825 305.577
  479 0.1475 0.90625 2.99881 305.9
  480 0.1475 0.96875 2.99954 305.015
  481 0.1525 0.03125 2.9998 304.536
  482 0.1525 0.09375 2.99942 304.962
  483 0.1525 0.15625 2.99903 306.213
  484 0.1525 0.21875 2.9992 304.577
  485 0.1525 0.28125 2.99917 305.167
  486 0.1525 0.34375 2.99871 305.497
  487 0.1525 0.40625 2.99905 304.682
  488 0.1525 0.46875 2.99951 303.961
  489 0.1525 0.53125 2.99974 304.995
  490 0.1525 0.59375 2.99934 303.668
  491 0.1525 0.65625 2.99891 303.412
  492 0.1525 0.71875 2.99912 304.186
  493 0.1525 0.78125 2.99905 304.609
  494 0.1525 0.84375 2.99867 304.756
  495 0.1525 0.90625 2.99904 303.79
  496 0.1525 0.96875 2.99956 305.429
  497 0.1575 0.03125 2.99973 303.669
  498 0.1575 0.09375 2.99953 303.431
  499 0.1575 0.15625 2.99968 304.141
  500 0.1575 0.21875 2.99979 304.639
  501 0.1575 0.28125 2.9998 304.697
  502 0.1575 0.34375 2.99985 305.14
  503 0.1575 0.40625 2.99981 304.468
  504 0.1575 0.46875 2.99987 304.638
  505 0.1575 0.53125 2.99965 303.933
  506 0.1575 0.59375 2.99953 303.967
  507 0.1575 0.65625 2.99961 302.445
  508 0.1575 0.71875 2.99976 302.605
  509 0.1575 0.78125 2.99984 302.436
  510 0.1575 0.84375 2.99984 303.665
  511 0.1575 0.90625 2.99981 304.098
  512 0.1575 0.96875 2.99992 304.464
  513 0.1625 0.03125 3.00007 304.517
  514 0.1625 0.09375 3.00029 303.931
  515 0.1625 0.15625 3.00038 303.996
  516 0.1625 0.21875 3.00036 305.133
  517 0.1625 0.28125 3.00037 304.727
  518 0.1625 0.34375 3.00029 302.464
  519 0.1625 0.40625 3.0002 303.475
  520 0.1625 0.46875 2.99995 305.344
  521 0.1625 0.53125 3.00007 303.664
  522 0.1625 0.59375 3.00031 303.744
  523 0.1625 0.65625 3.00039 304.096
  524 0.1625 0.71875 3.00041 303.853
  525 0.1625 0.78125 3.00041 303.635
  526 0.1625 0.84375 3.00037 302.688
  527 0.1625 0.90625 3.0002 303.725
  528 0.1625 0.96875 2.99993 303.712
  529 0.1675 0.03125 3.0002 303.658
  530 0.1675 0.09375 3.00035 303.766
  531 0.1675 0.15625 3.0004 302.217
  532 0.1675 0.21875 3.00044 303.648
  533 0.1675 0.28125 3.0004 304.567
  534 0.1675 0.34375 3.00046 303.626
  535 0.1675 0.40625 3.00045 304.126
  536 0.1675 0.46875 3.00033 303.067
  537 0.1675 0.53125 3.00022 304.241
  538 0.1675 0.59375 3.00027 304.059
  539 0.1675 0.65625 3.00032 304.303
  540 0.1675 0.71875 3.00041 304.021
  541 0.1675 0.78125 3.00048 304.077
  542 0.1675 0.84375 3.00045 302.469
  543 0.1675 0.90625 3.00042 304.595
  544 0.1675 0.96875 3.00035 304.839
  545 0.1725 0.03125 3.00038 304.033
  546 0.1725 0.09375 3.00047 303.528
  547 0.1725 0.15625 3.00049 303.178
  548 0.1725 0.21875 3.00062 302.863
  549 0.1725 0.28125 3.00068 302.491
  550 0.1725 0.34375 3.00054 303.565
  551 0.1725 0.40625 3.00046 303.762
  552 0.1725 0.46875 3.00044 303.297
  553 0.1725 0.53125 3.00044 302.981
  554 0.1725 0.59375 3.00049 302.971
  555 0.1725 0.65625 3.00058 303.573
  556 0.1725 0.71875 3.00057 304.102
  557 0.1725 0.78125 3.00052 302.909
  558 0.1725 0.84375 3.00047 304.013
  559 0.1725 0.90625 3.00044 304.633
  560 0.1725 0.96875 3.00047 302.878
  561 0.1775 0.03125 3.00068 304.626
  562 0.1775 0.09375 3.00059 304.405
  563 0.1775 0.15625 3.00065 303.935
  564 0.1775 0.21875 3.00057 302.792
  565 0.1775 0.28125 3.00053 302.32
  566 0.1775 0.34375 3.00064 301.462
  567 0.1775 0.40625 3.00063 303.066
  568 0.1775 0.46875 3.00073 302.85
  569 0.1775 0.53125 3.00061 303.283
  570 0.1775 0.59375 3.0006 303.286
  571 0.1775 0.65625 3.00058 303.516
  572 0.1775 0.71875 3.00058 303.372
  573 0.1775 0.78125 3.00055 302.908
  574 0.1775 0.84375 3.00061 303.117
  575 0.1775 0.90625 3.00065 302.612
  576 0.1775 0.96875 3.00054 303.54
  577 0.1825 0.03125 3.00066 303.749
  578 0.1825 0.09375 3.0007 303.535
  579 0.1825 0.15625 3.00067 303.152
  580 0.1825 0.21875 3.00077 303.101
  581 0.1825 0.28125 3.00082 302.602
  582 0.1825 0.34375 3.00081 302.85
  583 0.1825 0.40625 3.00083 302.87
  584 0.1825 0.46875 3.00064 302.646
  585 0.1825 0.53125 3.00078 302.44
  586 0.1825 0.59375 3.00076 303.057
  587 0.1825 0.65625 3.00072 304.177
  588 0.1825 0.71875 3.00075 304.218
  589 0.1825 0.78125 3.00066 301.708
  590 0.1825 0.84375 3.00074 302.123
  591 0.1825 0.90625 3.00067 303.595
  592 0.1825 0.96875 3.00073 303.318
  593 0.1875 0.03125 3.00083 303.099
  594 0.1875 0.09375 3.00107 303.246
  595 0.1875 0.15625 3.001 303.099
  596 0.1875 0.21875 3.00101 303.405
  597 0.1875 0.28125 3.00092 303.679
  598 0.1875 0.34375 3.00092 304.084
  599 0.1875 0.40625 3.00089 303.06
  600 0.1875 0.46875 3.00097 303.336
  601 0.1875 0.53125 3.00093 303.742
  602 0.1875 0.59375 3.00093 303.125
  603 0.1875 0.65625 3.00097 302.81
  604 0.1875 0.71875 3.00089 304.041
  605 0.1875 0.78125 3.00106 303.092
  606 0.1875 0.84375 3.00089 303.524
  607 0.1875 0.90625 3.00092 303.55
  608 0.1875 0.96875 3.00092 303.442
  609 0.1925 0.03125 3.00118 303.452
  610 0.1925 0.09375 3.00106 302.727
  611 0.1925 0.15625 3.00118 302.704
  612 0.1925 0.21875 3.00113 303.314
  613 0.1925 0.28125 3.0012 304.229
  614 0.1925 0.34375 3.00119 303.179
  615 0.1925 0.40625 3.00117 304.404
  616 0.1925 0.46875 3.00106 304.041
  617 0.1925 0.53125 3.0011 303.235
  618 0.1925 0.59375 3.00107 303.502
  619 0.1925 0.65625 3.00124 302.901
  620 0.1925 0.71875 3.00126 303.759
  621 0.1925 0.78125 3.00119 303.717
  622 0.1925 0.84375 3.00128 304.055
  623 0.1925 0.90625 3.00119 304.836
  624 0.1925 0.96875 3.00118 304.201
